track_id,track_title,artist_name,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
152,Ana bek saadti moakada,Omer Elamin,3,2017,0.405,0.536,3,-8.777,1,0.87,0.0001,0.285,0.649,84.754,350119,4
153,Ana fil tamanni,Omer Elamin,4,2017,0.489,0.797,8,-6.479,1,0.75,0.0004,0.714,0.666,86.237,395781,4
154,Ana ghairak ma habbet,Mamoun SwarAldahab,7,2017,0.358,0.889,2,-5.483,1,0.64,0.0294,0.314,0.879,151.259,449951,3
155,Ana lai sahba,Hiba Jabra,5,2020,0.397,0.849,10,-7.279,1,0.13,0.0001,0.314,0.747,167.785,564088,3
156,Ana laihom bagool kalam,Gamal Farfour,5,2015,0.523,0.872,5,-3.476,1,0.27,0,0.423,0.868,80.515,354900,4
157,Ana ma maakom,Wad Almzad,12,2020,0.771,0.746,5,-6.253,0,0.02,0,0.118,0.637,159.995,270375,4
158,Ana Mali,Abdel Karim Alkabli,4,2006,0.648,0.586,7,-9.346,1,0.14,0.0029,0.0493,0.962,90.036,390427,4
159,Ana mali wa malo,Makarim Bashir,4,2021,0.432,0.511,8,-10.988,0,0.48,0,0.477,0.788,137.931,285336,3
160,Ana rasim fi galbi,Huda Arabi,11,2020,0.354,0.298,0,-21.363,1,0.63,0,0.847,0.959,152.197,153391,3
161,Ana zol aadi,Ahmed Amin,10,2019,0.629,0.332,2,-10.847,1,0.43,0,0.0743,0.854,175.914,139798,4
162,Andreya,Nancy Ajaj,13,2021,0.427,0.136,5,-20.747,1,0.96,0.011,0.0983,0.702,123.623,417335,4
163,Argos farfish,Sharhabil Ahmed,37,2020,0.682,0.894,9,-5.084,1,0.76,0.251,0.107,0.977,81.964,278000,4
164,Arraid arraid ya ahal,Majzoub Ounsa,7,2018,0.474,0.721,0,-6.99,0,0.11,0.918,0.361,0.694,156.258,289602,4
165,Asal algibal,Eman Alshareef,20,2021,0.835,0.536,4,-7.631,0,0.44,0,0.0599,0.929,135.003,263184,4
166,Asal belqishta,Asha Algabal,15,2021,0.536,0.547,1,-11.752,1,0.8,0,0.0406,0.93,111.916,405682,4
167,Asela laisat llegaba,Mostafa Sid Ahmed,12,1992,0.493,0.425,0,-15.371,1,0.05,0.0001,0.279,0.617,94.652,527726,4
168,Ashan breedak,Kamal Tarbas,10,1985,0.497,0.52,4,-6.057,0,0.78,0.0002,0.0531,0.833,137.802,609880,3
169,Ashekh Seyaroh,Rasha,5,1997,0.475,0.306,11,-13.356,1,0.58,0,0.247,0.971,68.393,320850,4
170,Ashku laik ya rabbi,Omer Elamin,4,2016,0.514,0.375,5,-10.077,0,0.74,0.129,0.621,0.619,101.231,179984,4
